name,short_name,homepage_url,country,state,is_active
National Institute of Technology Srinagar,NIT Srinagar,https://www.nitsri.ac.in,India,Jammu and Kashmir,1
Malaviya National Institute of Technology Jaipur,MNIT Jaipur,https://www.mnit.ac.in,India,Rajasthan,1
Maulana Azad National Institute of Technology Bhopal,MANIT Bhopal,https://www.manit.ac.in,India,Madhya Pradesh,1
University of Hyderabad,UoH,https://uohyd.ac.in,India,Telangana,1
Jawaharlal Nehru University,JNU,https://www.jnu.ac.in,India,Delhi,1
University of Delhi,DU,https://www.du.ac.in,India,Delhi,1
Pondicherry University,PU,https://www.pondiuni.edu.in,India,Puducherry,1
Aligarh Muslim University,AMU,https://www.amu.ac.in,India,Uttar Pradesh,1
Banaras Hindu University,BHU,https://www.bhu.ac.in,India,Uttar Pradesh,1
Central University of Kerala,CUK,https://www.cukerala.ac.in,India,Kerala,1
Central University of Tamil Nadu,CUTN,https://www.cutn.ac.in,India,Tamil Nadu,1
Central University of Karnataka,CUK Karnataka,https://cuk.ac.in,India,Karnataka,1
Central University of Rajasthan,CURAJ,https://www.curaj.ac.in,India,Rajasthan,1
Central University of Punjab,CUPB,https://www.cup.edu.in,India,Punjab,1
Central University of Haryana,CUH,https://cuh.ac.in,India,Haryana,1
Central University of Jammu,CUJ,https://cujammu.ac.in,India,Jammu and Kashmir,1
Central University of Himachal Pradesh,CUHP,https://cuhimachal.ac.in,India,Himachal Pradesh,1
Central University of South Bihar,CUSB,https://cusb.ac.in,India,Bihar,1
Central University of Gujarat,CUG,https://www.cug.ac.in,India,Gujarat,1
Anna University,Anna Univ,https://www.annauniv.edu,India,Tamil Nadu,1
Andhra University,AU,https://www.andhrauniversity.edu.in,India,Andhra Pradesh,1
Cochin University of Science and Technology,CUSAT,https://www.cusat.ac.in,India,Kerala,1
Savitribai Phule Pune University,SPPU,https://www.unipune.ac.in,India,Maharashtra,1
Jadavpur University,JU,https://www.jaduniv.edu.in,India,West Bengal,1
Osmania University,OU,https://www.osmania.ac.in,India,Telangana,1
University of Madras,UNOM,https://www.unom.ac.in,India,Tamil Nadu,1
Bharathiar University,BU,https://www.b-u.ac.in,India,Tamil Nadu,1
Bharathidasan University,BDU,https://www.bdu.ac.in,India,Tamil Nadu,1
University of Kerala,KU,https://www.keralauniversity.ac.in,India,Kerala,1
Kannur University,Kannur Univ,https://kannuruniversity.ac.in,India,Kerala,1
University of Calicut,Calicut Univ,https://www.uoc.ac.in,India,Kerala,1
Goa University,Goa Univ,https://www.unigoa.ac.in,India,Goa,1
Mangalore University,Mangalore Univ,https://mangaloreuniversity.ac.in,India,Karnataka,1
Sri Venkateswara University,SVU,https://svuniversity.edu.in,India,Andhra Pradesh,1
Berhampur University,BU Odisha,https://buodisha.edu.in,India,Odisha,1
Utkal University,Utkal Univ,https://utkaluniversity.ac.in,India,Odisha,1
Gauhati University,GU,https://www.gauhati.ac.in,India,Assam,1
